;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-10.766666666666595 -1.5 0.0,4.5 -10.085126896615919 1.5707963267948966,4.5 -17.751793563282605 1.5707963267948966,4.5 -25.751793563282605 1.5707963267948966,4.5 -34.08512689661592 1.5707963267948966,4.5 -42.83512689661592 1.5707963267948966,4.5 -52.085126896615978 1.5707963267948966,4.5 -60.58512689661595 1.5707963267948966,4.5 -68.46998740317904 1.5707963267948966,4.5 -80.81379916966714 1.5707963267948966,4.5 -101.88514268839629 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -186.675 1.5707963267948966,183.41702192087156 -1.5 0.0,179.95500000000016 -4.5 0.0,4.5 247.5399281689841 1.5707963267948966,4.5 220.32010641402034 1.5707963267948966,4.5 57.21992816898406 1.5707963267948966,4.5 31.75313050346322 1.5707963267948966,-183.41702192087156 1.5 3.141592653589793,-275.89134407049667 4.5 3.141592653589793,-78.9613302101626 4.5 3.141592653589793,-4.5 -224.7683333333335 -1.5707963267948966,-4.5 -136.3309902005176 -1.5707963267948966,-4.5 -109.14046867064113 -1.5707963267948966,-1.5 15.372222222222149 -1.5707963267948966,-1.5 23.87222222222215 -1.5707963267948966,-1.5 153.34500000000004 -1.5707963267948966,-1.5 220.005 -1.5707963267948966,-1.5 264.445 -1.5707963267948966,-1.5 296.0 -1.5707963267948966,-4.5 16.66400979948247 -1.5707963267948966,-4.5 25.16400979948247 -1.5707963267948966,-4.5 32.66400979948247 -1.5707963267948966,-4.5 40.46650770092049 -1.5707963267948966,-4.5 51.844779311082138 -1.5707963267948966,-4.5 76.65648342091538 -1.5707963267948966,-4.5 120.01499999999999 -1.5707963267948966,-4.5 164.455 -1.5707963267948966,-4.5 208.89499999999999 -1.5707963267948966,-4.5 253.335 -1.5707963267948966,-4.5 291.0 -1.5707963267948966,17.55910188860281 4.5 3.141592653589793,25.05910188860281 4.5 3.141592653589793,32.55910188860281 4.5 3.141592653589793,40.05910188860281 4.5 3.141592653589793,8.233333333333402 -4.5 -5.04646829375071e-16,9.059101888602811 4.5 3.141592653589793,0.7988044921135469 5.493058273174894 -0.893358262759825,-4.5 6.164009799482471 -1.5707963267948966,;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
-10.766666666666595 -1.5 0.0,4.5 -10.085126896615919 1.5707963267948966,4.5 -17.585126896615919 1.5707963267948966,4.5 -25.251793563282605 1.5707963267948966,4.5 -33.251793563282607 1.5707963267948966,4.5 -41.58512689661592 1.5707963267948966,4.5 -50.33512689661595 1.5707963267948966,4.5 -59.585126896615978 1.5707963267948966,4.5 -68.08512689661595 1.5707963267948966,4.5 -77.66990595575905 1.5707963267948966,4.5 -95.72948527822166 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -175.565 1.5707963267948966,194.52702192087157 -1.5 0.0,191.06500000000018 -4.5 0.0,15.233333333333406 -4.5 0.0,4.5 258.6499281689841 1.5707963267948966,4.5 231.43003511600583 1.5707963267948966,4.5 68.32992816898406 1.5707963267948966,4.5 42.16184956967156 1.5707963267948966,-194.52702192087157 1.5 3.141592653589793,-287.00134060541316 4.5 3.141592653589793,-90.0713302101626 4.5 3.141592653589793,-4.5 -235.8783333333335 -1.5707963267948966,-4.5 -147.4409902005176 -1.5707963267948966,-4.5 -120.23867728259171 -1.5707963267948966,-1.5 12.67222222222216 -1.5707963267948966,-1.5 22.87222222222215 -1.5707963267948966,-1.5 142.235 -1.5707963267948966,-1.5 208.89499999999999 -1.5707963267948966,-1.5 253.335 -1.5707963267948966,-1.5 291.0 -1.5707963267948966,-4.5 13.964009799482483 -1.5707963267948966,-4.5 24.16400979948247 -1.5707963267948966,-4.5 32.66400979948247 -1.5707963267948966,-4.5 40.19642875038198 -1.5707963267948966,-4.5 49.82098434837667 -1.5707963267948966,-4.5 69.26189201082485 -1.5707963267948966,-4.5 108.90499999999997 -1.5707963267948966,-4.5 153.34500000000004 -1.5707963267948966,-4.5 197.78500000000003 -1.5707963267948966,-4.5 242.225 -1.5707963267948966,-4.5 284.0 -1.5707963267948966,16.55910188860281 4.5 3.141592653589793,25.05910188860281 4.5 3.141592653589793,32.55910188860281 4.5 3.141592653589793,40.05910188860281 4.5 3.141592653589793,7.559101888602811 4.5 3.141592653589793,4.22209106413261 1.858735064447589 -0.7512117612219209,-4.5 1.1640097994824715 -1.5707963267948966,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-10.766666666666595 -1.5 0.0,4.5 -17.585126896615919 1.5707963267948966,4.5 -25.085126896615919 1.5707963267948966,4.5 -32.751793563282607 1.5707963267948966,4.5 -40.751793563282607 1.5707963267948966,4.5 -49.08512689661592 1.5707963267948966,4.5 -57.83512689661595 1.5707963267948966,4.5 -67.08512689661598 1.5707963267948966,4.5 -75.98341093760513 1.5707963267948966,4.5 -90.4792277457083 1.5707963267948966,4.5 -120.01499999999999 1.5707963267948966,4.5 -164.455 1.5707963267948966,205.63702192087158 -1.5 0.0,10.216466365315917 -1.5 0.0,202.17500000000019 -4.5 0.0,24.233333333333407 -4.5 0.0,4.5 269.7599281689841 1.5707963267948966,4.5 242.53999233719714 1.5707963267948966,4.5 79.43992816898407 1.5707963267948966,4.5 52.85108100939656 1.5707963267948966,-205.63702192087158 1.5 3.141592653589793,-298.11134060541317 4.5 3.141592653589793,-101.1813302101626 4.5 3.141592653589793,-4.5 -246.98833333333352 -1.5707963267948966,-4.5 -158.55099020051763 -1.5707963267948966,-4.5 -131.34160244976207 -1.5707963267948966,-1.5 10.972222222222172 -1.5707963267948966,-1.5 20.352222222222168 -1.5707963267948966,-1.5 131.125 -1.5707963267948966,-1.5 197.78500000000003 -1.5707963267948966,-1.5 242.225 -1.5707963267948966,-1.5 284.0 -1.5707963267948966,-4.5 21.64400979948249 -1.5707963267948966,-4.5 31.66400979948247 -1.5707963267948966,-4.5 40.16400979948247 -1.5707963267948966,-4.5 48.26788952150454 -1.5707963267948966,-4.5 64.15492924278149 -1.5707963267948966,-4.5 97.79499999999996 -1.5707963267948966,-4.5 142.235 -1.5707963267948966,-4.5 186.675 -1.5707963267948966,-4.5 231.115 -1.5707963267948966,-4.5 275.0 -1.5707963267948966,-4.5 299.0 -1.5707963267948966,15.059101888602811 4.5 3.141592653589793,24.05910188860281 4.5 3.141592653589793,32.55910188860281 4.5 3.141592653589793,40.05910188860281 4.5 3.141592653589793,4.5 -9.085126896615919 1.5707963267948966,7.059101888602811 4.5 3.141592653589793,-4.5 -5.835990200517529 -1.5707963267948962,-4.5 9.844009799482479 -1.5707963267948966,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-10.766666666666595 -1.5 0.0,4.5 -16.585126896615919 1.5707963267948966,4.5 -25.085126896615919 1.5707963267948966,4.5 -32.58512689661592 1.5707963267948966,4.5 -40.251793563282607 1.5707963267948966,4.5 -48.251793563282607 1.5707963267948966,4.5 -56.58512689661592 1.5707963267948966,4.5 -65.33512689661592 1.5707963267948966,4.5 -74.5824722329267 1.5707963267948966,4.5 -87.0563545217081 1.5707963267948966,4.5 -110.49349349132916 1.5707963267948966,4.5 -153.34500000000004 1.5707963267948966,4.5 -299.0 1.5707963267948966,216.7470219208716 -1.5 0.0,19.216466365315918 -1.5 0.0,213.2850000000002 -4.5 0.0,34.788333333333408 -4.5 0.0,4.5 280.86992816898415 1.5707963267948966,4.5 253.64996666991193 1.5707963267948966,4.5 90.54992816898407 1.5707963267948966,4.5 63.708619873231558 1.5707963267948966,-216.7470219208716 1.5 3.141592653589793,-112.2913302101626 4.5 3.141592653589793,-4.5 -258.0983333333335 -1.5707963267948966,-4.5 -169.66099020051764 -1.5707963267948966,-4.5 -142.44735755006429 -1.5707963267948966,-4.5 -14.835990200517529 -1.5707963267948966,-1.5 10.972222222222172 -1.5707963267948966,-1.5 18.564222222222158 -1.5707963267948966,-1.5 120.01499999999999 -1.5707963267948966,-1.5 186.675 -1.5707963267948966,-1.5 231.115 -1.5707963267948966,-1.5 275.0 -1.5707963267948966,-1.5 299.0 -1.5707963267948966,-4.5 18.100009799482508 -1.5707963267948966,-4.5 29.252009799482495 -1.5707963267948966,-4.5 39.16400979948247 -1.5707963267948966,-4.5 48.000117127385298 -1.5707963267948966,-4.5 60.200267977130497 -1.5707963267948966,-4.5 87.42245308633383 -1.5707963267948966,-4.5 131.125 -1.5707963267948966,-4.5 175.565 -1.5707963267948966,-4.5 220.005 -1.5707963267948966,-4.5 264.445 -1.5707963267948966,-4.5 296.0 -1.5707963267948966,14.559101888602811 4.5 3.141592653589793,22.55910188860281 4.5 3.141592653589793,31.55910188860281 4.5 3.141592653589793,40.05910188860281 4.5 3.141592653589793,4.5 -6.085126896615918 1.5707963267948966,6.059101888602811 4.5 3.141592653589793,-4.5 4.172009799482474 -1.5707963267948966,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-10.766666666666595 -1.5 0.0,4.5 -13.88512689661593 1.5707963267948966,4.5 -24.085126896615919 1.5707963267948966,4.5 -32.58512689661592 1.5707963267948966,4.5 -40.08512689661592 1.5707963267948966,4.5 -47.751793563282607 1.5707963267948966,4.5 -55.751793563282607 1.5707963267948966,4.5 -64.08512689661592 1.5707963267948966,4.5 -72.8352614298368 1.5707963267948966,4.5 -84.19100076912423 1.5707963267948966,4.5 -103.65378991561482 1.5707963267948966,4.5 -142.235 1.5707963267948966,4.5 -296.0 1.5707963267948966,227.8570219208716 -1.5 0.0,29.771466365315918 -1.5 0.0,224.3950000000002 -4.5 0.0,45.898333333333408 -4.5 0.0,4.5 291.97992816898417 1.5707963267948966,4.5 264.7599512695408 1.5707963267948966,4.5 101.65992816898407 1.5707963267948966,4.5 74.66714319153256 1.5707963267948966,-227.8570219208716 1.5 3.141592653589793,-123.4013302101626 4.5 3.141592653589793,-4.5 -269.20833333333357 -1.5707963267948966,-4.5 -180.77099020051765 -1.5707963267948966,-4.5 -153.55481061024563 -1.5707963267948966,-4.5 -25.39099020051753 -1.5707963267948966,-1.5 10.972222222222172 -1.5707963267948966,-1.5 18.532300444444389 -1.5707963267948966,-1.5 108.90499999999997 -1.5707963267948966,-1.5 175.565 -1.5707963267948966,-1.5 220.005 -1.5707963267948966,-1.5 264.445 -1.5707963267948966,-1.5 296.0 -1.5707963267948966,-4.5 14.558009799482477 -1.5707963267948966,-4.5 26.08240979948249 -1.5707963267948966,-4.5 36.816809799482488 -1.5707963267948966,-4.5 47.000117127385269 -1.5707963267948966,-4.5 57.698973810013288 -1.5707963267948966,-4.5 79.02622391912533 -1.5707963267948966,-4.5 120.01499999999999 -1.5707963267948966,-4.5 164.455 -1.5707963267948966,-4.5 208.89499999999999 -1.5707963267948966,-4.5 253.335 -1.5707963267948966,-4.5 291.0 -1.5707963267948966,13.559101888602811 4.5 3.141592653589793,22.05910188860281 4.5 3.141592653589793,30.05910188860281 4.5 3.141592653589793,39.05910188860281 4.5 3.141592653589793,4.5 -3.085126896615918 1.5707963267948966,3.059101888602811 4.5 3.141592653589793,-4.5 -3.231190200517528 -1.5707963267948966,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-10.766666666666595 -1.5 0.0,4.5 -11.1051268966159 1.5707963267948966,4.5 -21.565126896615938 1.5707963267948966,4.5 -31.585126896615919 1.5707963267948966,4.5 -40.08512689661592 1.5707963267948966,4.5 -47.58512689661592 1.5707963267948966,4.5 -55.251793563282607 1.5707963267948966,4.5 -63.251793563282607 1.5707963267948966,4.5 -71.58510620821534 1.5707963267948966,4.5 -81.52289146269007 1.5707963267948966,4.5 -98.09047347112792 1.5707963267948966,4.5 -131.125 1.5707963267948966,4.5 -291.0 1.5707963267948966,238.96702192087163 -1.5 0.0,40.881466365315919 -1.5 0.0,235.50500000000023 -4.5 0.0,57.008333333333407 -4.5 0.0,4.5 275.86994202931819 1.5707963267948966,4.5 112.76992816898407 1.5707963267948966,4.5 85.68625718251316 1.5707963267948966,-238.96702192087163 1.5 3.141592653589793,-134.5113302101626 4.5 3.141592653589793,-4.5 -280.31833333333358 -1.5707963267948966,-4.5 -191.88099020051767 -1.5707963267948966,-4.5 -164.66328244635444 -1.5707963267948966,-4.5 -36.50099020051752 -1.5707963267948966,-4.5 -12.206110200517529 -1.5707963267948966,-1.5 10.972222222222172 -1.5707963267948966,-1.5 18.473746051946934 -1.5707963267948966,-1.5 97.79499999999996 -1.5707963267948966,-1.5 164.455 -1.5707963267948966,-1.5 208.89499999999999 -1.5707963267948966,-1.5 253.335 -1.5707963267948966,-1.5 291.0 -1.5707963267948966,-4.5 12.028009799482448 -1.5707963267948966,-4.5 22.81216979948249 -1.5707963267948966,-4.5 33.889129799482478 -1.5707963267948966,-4.5 44.62457566180473 -1.5707963267948966,-4.5 55.573185802684808 -1.5707963267948966,-4.5 73.17405204207535 -1.5707963267948966,-4.5 108.90499999999997 -1.5707963267948966,-4.5 153.34500000000004 -1.5707963267948966,-4.5 197.78500000000003 -1.5707963267948966,-4.5 242.225 -1.5707963267948966,-4.5 284.0 -1.5707963267948966,11.892435221936126 4.5 3.141592653589793,21.05910188860281 4.5 3.141592653589793,29.55910188860281 4.5 3.141592653589793,37.55910188860281 4.5 3.141592653589793,4.5 -1.5851268966159183 1.5707963267948966,-1.9408981113971895 4.5 3.141592653589793,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-10.766666666666595 -1.5 0.0,4.5 -18.91312689661595 1.5707963267948966,4.5 -29.17312689661594 1.5707963267948966,4.5 -39.08512689661592 1.5707963267948966,4.5 -47.58512689661592 1.5707963267948966,4.5 -55.08512689661592 1.5707963267948966,4.5 -62.751793563282607 1.5707963267948966,4.5 -70.75179947488599 1.5707963267948966,4.5 -79.5813371335384 1.5707963267948966,4.5 -93.50886023407648 1.5707963267948966,4.5 -120.57102306775951 1.5707963267948966,4.5 -284.0 1.5707963267948966,250.07702192087164 -1.5 0.0,51.991466365315918 -1.5 0.0,246.61500000000025 -4.5 0.0,68.1183333333334 -4.5 0.0,4.5 286.97993856423468 1.5707963267948966,4.5 123.87992816898407 1.5707963267948966,4.5 96.74172557710152 1.5707963267948966,-250.07702192087164 1.5 3.141592653589793,-145.6213302101626 4.5 3.141592653589793,-4.5 -291.42833333333359 -1.5707963267948966,-4.5 -202.99099020051768 -1.5707963267948966,-4.5 -175.7723655480197 -1.5707963267948966,-4.5 -47.61099020051753 -1.5707963267948966,-4.5 -22.146062200517528 -1.5707963267948966,-1.5 10.972222222222172 -1.5707963267948966,-1.5 18.47222222222217 -1.5707963267948966,-1.5 86.68499999999995 -1.5707963267948966,-1.5 153.34500000000004 -1.5707963267948966,-1.5 197.78500000000003 -1.5707963267948966,-1.5 242.225 -1.5707963267948966,-1.5 284.0 -1.5707963267948966,-4.5 10.510009799482419 -1.5707963267948966,-4.5 20.14055379948246 -1.5707963267948966,-4.5 30.81786579948249 -1.5707963267948966,-4.5 41.74486131687581 -1.5707963267948966,-4.5 52.72217859386552 -1.5707963267948966,-4.5 68.45382471879774 -1.5707963267948966,-4.5 98.06171663431047 -1.5707963267948966,-4.5 142.235 -1.5707963267948966,-4.5 186.675 -1.5707963267948966,-4.5 231.115 -1.5707963267948966,-4.5 275.0 -1.5707963267948966,-4.5 299.0 -1.5707963267948966,10.892435221936126 4.5 3.141592653589793,19.392435221936127 4.5 3.141592653589793,28.55910188860281 4.5 3.141592653589793,37.05910188860281 4.5 3.141592653589793,4.5 0.4148731033840818 1.5707963267948966,4.5 -9.253126896615925 1.5707963267948966,-8.940898111397186 4.5 3.141592653589793,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-10.766666666666595 -1.5 0.0,4.5 -16.862940904103256 1.5707963267948966,4.5 -26.594726896615954 1.5707963267948966,4.5 -36.73792689661593 1.5707963267948966,4.5 -46.58512689661592 1.5707963267948966,4.5 -55.08512689661592 1.5707963267948966,4.5 -62.58512689661592 1.5707963267948966,4.5 -70.25179175179713 1.5707963267948966,4.5 -78.28884064402107 1.5707963267948966,4.5 -90.07755190961086 1.5707963267948966,4.5 -112.02430802591383 1.5707963267948966,4.5 -275.0 1.5707963267948966,261.18702192087167 -1.5 0.0,63.10146636531592 -1.5 0.0,257.72500000000027 -4.5 0.0,79.22833333333341 -4.5 0.0,4.5 298.08993856423469 1.5707963267948966,4.5 134.98992816898409 1.5707963267948966,4.5 107.81900661385454 1.5707963267948966,-261.18702192087167 1.5 3.141592653589793,-156.73133021016259 4.5 3.141592653589793,-17.94089811139719 4.5 3.141592653589793,-4.5 -214.10099020051769 -1.5707963267948966,-4.5 -186.88181540901889 -1.5707963267948966,-4.5 -58.72099020051753 -1.5707963267948966,-4.5 -32.554033400517528 -1.5707963267948966,-1.5 10.972222222222172 -1.5707963267948966,-1.5 18.47222222222217 -1.5707963267948966,-1.5 75.57499999999993 -1.5707963267948966,-1.5 142.235 -1.5707963267948966,-1.5 186.675 -1.5707963267948966,-1.5 231.115 -1.5707963267948966,-1.5 275.0 -1.5707963267948966,-4.5 10.00400979948239 -1.5707963267948966,-4.5 18.215459399482428 -1.5707963267948966,-4.5 28.0925473994825 -1.5707963267948966,-4.5 38.76248808578816 -1.5707963267948966,-4.5 49.75885395473273 -1.5707963267948966,-4.5 63.96480884995265 -1.5707963267948966,-4.5 88.49912561193225 -1.5707963267948966,-4.5 131.125 -1.5707963267948966,-4.5 175.565 -1.5707963267948966,-4.5 220.005 -1.5707963267948966,-4.5 264.445 -1.5707963267948966,-4.5 296.0 -1.5707963267948966,10.392435221936126 4.5 3.141592653589793,18.392435221936127 4.5 3.141592653589793,26.892435221936127 4.5 3.141592653589793,36.05910188860281 4.5 3.141592653589793,4.5 4.414873103384082 1.5707963267948966,4.5 -7.101926896615927 1.5707963267948966,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-10.766666666666595 -1.5 0.0,4.5 -14.624509308595635 1.5707963267948966,4.5 -24.43063780021015 1.5707963267948966,4.5 -34.20112689661596 1.5707963267948966,4.5 -44.27680689661594 1.5707963267948966,4.5 -54.08512689661592 1.5707963267948966,4.5 -62.58512689661592 1.5707963267948966,4.5 -70.08512689666415 1.5707963267948966,4.5 -77.74422132556728 1.5707963267948966,4.5 -87.53133047246112 1.5707963267948966,4.5 -105.58242525797553 1.5707963267948966,4.5 -264.445 1.5707963267948966,272.29702192087168 -1.5 0.0,74.21146636531592 -1.5 0.0,268.83500000000029 -4.5 0.0,90.33833333333341 -4.5 0.0,4.5 146.09992816898407 1.5707963267948966,4.5 118.90937523590636 1.5707963267948966,4.5 10.414873103384082 1.5707963267948966,-272.29702192087168 1.5 3.141592653589793,-167.8413302101626 4.5 3.141592653589793,-28.49589811139719 4.5 3.141592653589793,-4.5 -225.2109902005177 -1.5707963267948966,-4.5 -197.9914853256184 -1.5707963267948966,-4.5 -69.83099020051754 -1.5707963267948966,-4.5 -43.242816120517527 -1.5707963267948966,-1.5 10.972222222222172 -1.5707963267948966,-1.5 18.47222222222217 -1.5707963267948966,-1.5 64.46499999999992 -1.5707963267948966,-1.5 131.125 -1.5707963267948966,-1.5 175.565 -1.5707963267948966,-1.5 220.005 -1.5707963267948966,-1.5 264.445 -1.5707963267948966,-4.5 17.95459833156309 -1.5707963267948966,-4.5 25.91673811948249 -1.5707963267948966,-4.5 36.00085909748344 -1.5707963267948966,-4.5 46.769309810417187 -1.5707963267948966,-4.5 59.994900209980588 -1.5707963267948966,-4.5 80.80231076407802 -1.5707963267948966,-4.5 120.01499999999999 -1.5707963267948966,-4.5 164.455 -1.5707963267948966,-4.5 208.89499999999999 -1.5707963267948966,-4.5 253.335 -1.5707963267948966,-4.5 291.0 -1.5707963267948966,10.142435221936126 4.5 3.141592653589793,17.892435221936127 4.5 3.141592653589793,25.892435221936127 4.5 3.141592653589793,34.392435221936128 4.5 3.141592653589793,4.5 -3.6952068966159237 1.5707963267948966,-4.5 9.00400979948239 -1.5707963267948966,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-10.766666666666595 -1.5 0.0,4.5 -11.571444343803762 1.5707963267948966,4.5 -22.143162583564619 1.5707963267948966,4.5 -31.97019151168587 1.5707963267948966,4.5 -41.76291889661593 1.5707963267948966,4.5 -51.80013489661593 1.5707963267948966,4.5 -61.58512689661592 1.5707963267948966,4.5 -70.08512689661592 1.5707963267948966,4.5 -77.58643038564367 1.5707963267948966,4.5 -85.90788337375199 1.5707963267948966,4.5 -100.63187532249754 1.5707963267948966,4.5 -253.335 1.5707963267948966,283.40702192087169 -1.5 0.0,85.32146636531592 -1.5 0.0,279.9450000000003 -4.5 0.0,101.44833333333341 -4.5 0.0,4.5 157.20992816898406 1.5707963267948966,4.5 130.00759640913743 1.5707963267948966,4.5 18.414873103384083 1.5707963267948966,-283.40702192087169 1.5 3.141592653589793,-178.9513302101626 4.5 3.141592653589793,-39.60589811139719 4.5 3.141592653589793,-4.5 -236.3209902005177 -1.5707963267948966,-4.5 -209.10128727557814 -1.5707963267948966,-4.5 -80.94099020051752 -1.5707963267948966,-4.5 -54.10008575251752 -1.5707963267948966,-1.5 10.972222222222172 -1.5707963267948966,-1.5 18.47222222222217 -1.5707963267948966,-1.5 53.354999999999908 -1.5707963267948966,-1.5 120.01499999999999 -1.5707963267948966,-1.5 164.455 -1.5707963267948966,-1.5 208.89499999999999 -1.5707963267948966,-1.5 253.335 -1.5707963267948966,-4.5 16.95459833156309 -1.5707963267948966,-4.5 25.522961052940674 -1.5707963267948966,-4.5 33.649212791944027 -1.5707963267948966,-4.5 43.95518675878492 -1.5707963267948966,-4.5 56.30282812042341 -1.5707963267948966,-4.5 74.43074605602107 -1.5707963267948966,-4.5 108.90499999999997 -1.5707963267948966,-4.5 153.34500000000004 -1.5707963267948966,-4.5 197.78500000000003 -1.5707963267948966,-4.5 242.225 -1.5707963267948966,-4.5 284.0 -1.5707963267948966,10.059101888602811 4.5 3.141592653589793,17.642435221936127 4.5 3.141592653589793,25.392435221936127 4.5 3.141592653589793,33.392435221936128 4.5 3.141592653589793,4.5 1.1488251033840778 1.5707963267948966,-4.5 6.0040097994823899 -1.5707963267948966,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-10.766666666666595 -1.5 0.0,4.5 -10.23692748130668 1.5707963267948966,4.5 -19.3038622947019 1.5707963267948966,4.5 -29.655802970021683 1.5707963267948966,4.5 -39.49234792858141 1.5707963267948966,4.5 -49.29835569661594 1.5707963267948966,4.5 -59.31413169661593 1.5707963267948966,4.5 -69.08512689661592 1.5707963267948966,4.5 -77.58512689661592 1.5707963267948966,4.5 -85.10112396584637 1.5707963267948966,4.5 -97.08300969061128 1.5707963267948966,4.5 -242.225 1.5707963267948966,4.5 -299.0 1.5707963267948966,294.5170219208717 -1.5 0.0,96.43146636531592 -1.5 0.0,291.0550000000003 -4.5 0.0,112.55833333333341 -4.5 0.0,4.5 168.31992816898404 1.5707963267948966,4.5 141.1105291130761 1.5707963267948966,4.5 28.414873103384083 1.5707963267948966,-294.5170219208717 1.5 3.141592653589793,-190.06133021016263 4.5 3.141592653589793,-50.71589811139719 4.5 3.141592653589793,-4.5 -247.43099020051774 -1.5707963267948966,-4.5 -220.21116844555398 -1.5707963267948966,-4.5 -92.05099020051752 -1.5707963267948966,-4.5 -65.05844753171752 -1.5707963267948966,-1.5 18.47222222222217 -1.5707963267948966,-1.5 44.04544444444437 -1.5707963267948966,-1.5 108.90499999999997 -1.5707963267948966,-1.5 153.34500000000004 -1.5707963267948966,-1.5 197.78500000000003 -1.5707963267948966,-1.5 242.225 -1.5707963267948966,-4.5 14.16448062514695 -1.5707963267948966,-4.5 24.522961052940674 -1.5707963267948966,-4.5 33.142062130473679 -1.5707963267948966,-4.5 41.45496326015922 -1.5707963267948966,-4.5 52.97653677302654 -1.5707963267948966,-4.5 68.97706298757055 -1.5707963267948966,-4.5 97.9077147010693 -1.5707963267948966,-4.5 142.235 -1.5707963267948966,-4.5 186.675 -1.5707963267948966,-4.5 231.115 -1.5707963267948966,-4.5 275.0 -1.5707963267948966,-4.5 299.0 -1.5707963267948966,10.059101888602811 4.5 3.141592653589793,17.639348802183066 4.5 3.141592653589793,25.142435221936127 4.5 3.141592653589793,32.892435221936128 4.5 3.141592653589793,4.499999999999999 7.655244303384077 1.5707963267948962,-1.494422950283 9.972787843622225 -1.3686485963367599,-4.5 1.0040097994823896 -1.5707963267948966,;road_0_1_0 r r,road_1_0_1 r r,road_1_2_3 g g,road_2_1_2 r r,
-10.766666666666595 -1.5 0.0,4.5 -17.737060311761753 1.5707963267948966,4.5 -26.947166642121205 1.5707963267948966,4.5 -37.163815299748197 1.5707963267948966,4.5 -47.00416013302848 1.5707963267948966,4.5 -56.818307056615939 1.5707963267948966,4.5 -66.82252977661588 1.5707963267948966,4.5 -76.58512689661592 1.5707963267948966,4.5 -85.08512689661592 1.5707963267948966,4.5 -94.67732476392033 1.5707963267948966,4.5 -231.115 1.5707963267948966,4.5 -296.0 1.5707963267948966,107.54146636531591 -1.5 0.0,123.66833333333341 -4.5 0.0,4.5 179.42992816898409 1.5707963267948966,4.5 152.2162887354393 1.5707963267948966,4.5 39.469873103384077 1.5707963267948966,4.5 15.959095823384083 1.5707963267948966,-201.17133021016265 4.5 3.141592653589793,-61.82589811139719 4.5 3.141592653589793,-4.5 -258.54099020051776 -1.5707963267948966,-4.5 -231.32109714753947 -1.5707963267948966,-4.5 -103.16099020051753 -1.5707963267948966,-4.5 -76.07746459923752 -1.5707963267948966,-1.5 17.47222222222217 -1.5707963267948966,-1.5 37.67806666666661 -1.5707963267948966,-1.5 97.79499999999996 -1.5707963267948966,-1.5 142.235 -1.5707963267948966,-1.5 186.675 -1.5707963267948966,-1.5 231.115 -1.5707963267948966,-4.5 21.935217884815473 -1.5707963267948966,-4.5 32.142062130473679 -1.5707963267948966,-4.5 40.846500866702289 -1.5707963267948966,-4.5 50.033076237908719 -1.5707963267948966,-4.5 64.3370725764843 -1.5707963267948966,-4.5 88.35343784807569 -1.5707963267948966,-4.5 131.125 -1.5707963267948966,-4.5 175.565 -1.5707963267948966,-4.5 220.005 -1.5707963267948966,-4.5 264.445 -1.5707963267948966,-4.5 296.0 -1.5707963267948966,10.059101888602811 4.5 3.141592653589793,17.561776328044574 4.5 3.141592653589793,25.139348802183066 4.5 3.141592653589793,32.642435221936128 4.5 3.141592653589793,4.5 -9.23692748130668 1.5707963267948966,-0.4132429349257145 7.20549392415154 -0.9862365891433453,-4.499999999999999 -5.9959902005176108 -1.5707963267948962,-4.5 9.900292294881126 -1.5707963267948966,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
